                                             Query	     QTime		  numFound	  minQTime	  maxQTime	#invocations	return consistent
                citations(id:[2000000 TO 2000900])	         8		      3785	         8	         9	         3	      True
                citations(id:[2000000 TO 2002700])	        13		     19120	        13	        14	         3	      True
                citations(id:[2000000 TO 2005400])	        20		     34730	        20	        20	         3	      True
                citations(id:[2000000 TO 2009000])	        28		     54306	        28	        29	         3	      True
                citations(id:[2000000 TO 2013500])	        48		     88639	        47	        49	         3	      True
                citations(id:[2000000 TO 2018900])	        86		    140727	        86	        87	         3	      True
                citations(id:[2000000 TO 2025200])	       122		    166555	       119	       127	         3	      True
                citations(id:[2000000 TO 2032400])	       128		    178628	       125	       134	         3	      True
                citations(id:[2000000 TO 2040500])	       144		    194355	       129	       155	         3	      True
                citations(id:[2000000 TO 2049500])	       169		    214927	       165	       173	         3	      True
                citations(id:[2000000 TO 2059400])	       190		    236232	       186	       196	         3	      True
                citations(id:[2000000 TO 2070200])	       227		    263871	       219	       240	         3	      True
                citations(id:[2000000 TO 2081900])	       260		    286793	       258	       264	         3	      True
                citations(id:[2000000 TO 2094500])	       296		    326941	       288	       302	         3	      True
                citations(id:[2000000 TO 2108000])	       360		    375870	       344	       381	         3	      True
                citations(id:[2000000 TO 2122400])	       468		    429033	       464	       477	         3	      True
                citations(id:[2000000 TO 2137700])	       570		    481047	       567	       573	         3	      True
                citations(id:[2000000 TO 2153900])	       634		    501131	       627	       641	         3	      True
                citations(id:[2000000 TO 2171000])	       659		    522353	       624	       692	         3	      True
                citations(id:[2000000 TO 2189000])	       721		    549665	       707	       737	         3	      True
                citations(id:[2000000 TO 2207900])	       829		    587572	       818	       837	         3	      True
                citations(id:[2000000 TO 2227700])	       968		    632428	       939	       986	         3	      True
                citations(id:[2000000 TO 2248400])	      1075		    679791	      1055	      1105	         3	      True
                citations(id:[2000000 TO 2292500])	      1205		    736208	      1125	      1256	         3	      True
                citations(id:[2000000 TO 2270000])	      1402		    708532	      1100	      1979	         3	      True
                citations(id:[2000000 TO 2315900])	      1451		    795731	      1415	      1491	         3	      True
                citations(id:[2000000 TO 2340200])	      1859		    855068	      1428	      2490	         3	      True
                citations(id:[2000000 TO 2391500])	      1949		    942712	      1899	      2018	         3	      True
                citations(id:[2000000 TO 2365400])	      1983		    911999	      1656	      2463	         3	      True
                citations(id:[2000000 TO 2418500])	      2094		    993294	      2051	      2126	         3	      True
                citations(id:[2000000 TO 2446400])	      2405		   1052296	      2361	      2439	         3	      True
                citations(id:[2000000 TO 2475200])	      2603		   1111191	      2542	      2717	         3	      True
                citations(id:[2000000 TO 2504900])	      2776		   1153837	      2709	      2845	         3	      True
                citations(id:[2000000 TO 2567000])	      3296		   1235897	      3221	      3345	         3	      True
                citations(id:[2000000 TO 2535500])	      3325		   1191462	      2935	      4050	         3	      True
                citations(id:[2000000 TO 2632700])	      3781		   1319416	      3564	      3985	         3	      True
                citations(id:[2000000 TO 2666900])	      4124		   1350093	      3979	      4259	         3	      True
                citations(id:[2000000 TO 2599400])	      4237		   1285482	      3783	      4481	         3	      True
                citations(id:[2000000 TO 2702000])	      4470		   1385880	      4222	      4622	         3	      True
                citations(id:[2000000 TO 2738000])	      5260		   1439099	      4817	      5873	         3	      True
                citations(id:[2000000 TO 2812700])	      5390		   1510214	      5266	      5485	         3	      True
                citations(id:[2000000 TO 2851400])	      5765		   1549948	      5265	      6051	         3	      True
                citations(id:[2000000 TO 2891000])	      6683		   1585774	      6097	      7727	         3	      True
                citations(id:[2000000 TO 2972900])	      6816		   1654232	      6197	      7141	         3	      True
                citations(id:[2000000 TO 2931500])	      6863		   1608289	      6643	      7031	         3	      True
                citations(id:[2000000 TO 3015200])	      7387		   1686716	      7233	      7536	         3	      True
                citations(id:[2000000 TO 3058400])	      8386		   1710755	      7906	      8645	         3	      True
                citations(id:[2000000 TO 3147500])	      8470		   1786770	      8217	      8725	         3	      True
                citations(id:[2000000 TO 3102500])	      8793		   1753260	      7851	      9852	         3	      True
                citations(id:[2000000 TO 3193400])	      9530		   1810312	      8803	      9932	         3	      True
                citations(id:[2000000 TO 3336500])	      9937		   1904054	      9557	     10220	         3	      True
                citations(id:[2000000 TO 2774900])	     12666		   1482659	      5405	     25530	         3	      True
                citations(id:[2000000 TO 3539900])	     13142		   2015910	     12184	     13915	         3	      True
                citations(id:[2000000 TO 3240200])	     15221		   1846799	      9261	     26902	         3	      True
                citations(id:[2000000 TO 3386000])	     16168		   1936924	     10457	     27473	         3	      True
                citations(id:[2000000 TO 3287900])	     16191		   1879427	      9782	     28369	         3	      True
                citations(id:[2000000 TO 3487700])	     17737		   1997253	     11607	     29984	         3	      True
                citations(id:[2000000 TO 3436400])	     18878		   1967576	     11263	     32830	         3	      True

