                                             Query       QTime	numFound	  minQTime	  maxQTime	#invocations	return consistent
            citations(bibcode:1964ApPhL...4...89W)	7	883	7	8	2	      True
            citations(bibcode:2002JHEP...07..012P)	7	1087	7	8	2	      True
            citations(bibcode:2012PhRvL.109r1301A)	7	 11	7	8	2	      True
            citations(bibcode:1951PhRv...82..403Z)	7	2307	7	8	2	      True
            citations(bibcode:1933RSPSA.141..282H)	7	 50	7	7	2	      True
            citations(bibcode:2005MNRAS.362..799M)	7	570	7	8	2	      True
            citations(bibcode:2005ApJ...633..560E)	7	1231	7	8	2	      True
            citations(bibcode:1991PhRvB..44..943A)	7	954	7	7	2	      True
            citations(bibcode:1989agna.book.....O)	7	2912	7	7	2	      True
            citations(bibcode:1975ITM....11.1018M)	7	307	7	8	2	      True
            citations(bibcode:1988PhRvD..37.3406R)	7	1667	7	7	2	      True
            citations(bibcode:1975JOSA...65..979F)	7	 39	7	8	2	      True
            citations(bibcode:1977PhLB...67..421M)	7	834	7	7	2	      True
            citations(bibcode:1957ApJ...125...66S)	7	221	7	8	2	      True
            citations(bibcode:1983AnPhy.149..374C)	7	1879	7	8	2	      True
            citations(bibcode:1972ApJ...178..623T)	7	1690	7	7	2	      True
            citations(bibcode:1996PhRvB..54.9353B)	7	987	7	7	2	      True
            citations(bibcode:1985RvMP...57..287L)	7	2690	7	7	2	      True
            citations(bibcode:2003ApJ...594....1T)	7	929	7	7	2	      True
            citations(bibcode:1987SSCom..63..973B)	7	330	7	7	2	      True
            citations(bibcode:1998ApJ...498..541K)	7	1432	7	7	2	      True
            citations(bibcode:1993PhyB..192...55R)	7	996	7	7	2	      True
            citations(bibcode:1936RSPSA.157..490H)	7	 70	7	8	2	      True
            citations(bibcode:2006Sci...312.1780P)	7	515	7	8	2	      True
            citations(bibcode:1997PhRvL..78.4494P)	7	563	7	8	2	      True
            citations(bibcode:1947PhRv...71..809B)	7	530	7	8	2	      True
            citations(bibcode:1982ApJ...263..835S)	7	1936	7	8	2	      True
            citations(bibcode:1984JFM...143....1A)	7	485	7	8	2	      True
            citations(bibcode:1963JAtS...20..130L)	7	1947	7	8	2	      True
            citations(bibcode:1991Natur.353..737O)	7	815	7	7	2	      True
            citations(bibcode:1961JAP....32.1679P)	7	345	7	8	2	      True
            citations(bibcode:1959NucPh..13..104M)	7	110	7	7	2	      True
            citations(bibcode:1984JChPh..81.3684B)	7	1667	7	8	2	      True
            citations(bibcode:1999RvMP...71..463D)	7	2007	7	8	2	      True
            citations(bibcode:1957PhRv..108.1070B)	7	139	7	7	2	      True
            citations(bibcode:1989CPL...157..479R)	7	1492	7	8	2	      True
            citations(bibcode:1985ApJ...288..618R)	7	1914	7	8	2	      True
            citations(bibcode:1996PhRvB..5417954N)	7	479	7	8	2	      True
