                                             Query       QTime        numFound    minQTime    maxQTime  #invocations    return consistent
        joincitations(bibcode:2000ApJ...539L..13G)          15            1665          15          16           2        True
        joincitations(bibcode:1995JCoPh.117....1P)          15             298          15          16           2        True
        joincitations(bibcode:1992A&AS...96..269S)          15            2130          15          16           2        True
        joincitations(bibcode:2007NatMa...6..183G)          15            1052          15          15           2        True
        joincitations(bibcode:1968SvPhU..10..509V)          15            1403          15          16           2        True
        joincitations(bibcode:1988cels.book.....H)          15             113          15          16           2        True
        joincitations(bibcode:2005RvMP...77..633F)          15             458          15          16           2        True
        joincitations(bibcode:2006MNRAS.365...11C)          15            1026          15          16           2        True
        joincitations(bibcode:1989RvMP...61....1W)          15            1852          15          16           2        True
        joincitations(bibcode:1986PhRvL..56..930B)          15            1858          15          16           2        True
        joincitations(bibcode:1952RSPSA.211..564L)          15             362          15          16           2        True
        joincitations(bibcode:1983AnPhy.149..374C)          15            1879          15          16           2        True
        joincitations(bibcode:2008PhRvL.101e7003M)          15             427          15          16           2        True
        joincitations(bibcode:1947PhRv...71..809B)          15             530          15          16           2        True
        joincitations(bibcode:2003NIMPA.506..250G)          15            1244          15          16           2        True
        joincitations(bibcode:1995CASSS...5.....H)          15               0          15          16           2        True
        joincitations(bibcode:1996JMMM..159L...1S)          15            1138          15          16           2        True
        joincitations(bibcode:1999ITMTT..47.2075P)          15             757          15          16           2        True
        joincitations(bibcode:2002JHEP...07..012P)          15            1087          15          16           2        True
        joincitations(bibcode:1995PhRvL..75.1260J)          15             274          15          16           2        True
        joincitations(bibcode:2004JHEP...10..025L)          15             133          15          16           2        True
        joincitations(bibcode:2001Natur.410...63N)          15            1903          15          16           2        True
        joincitations(bibcode:2005Natur.437..681O)          15             149          15          16           2        True
        joincitations(bibcode:2006Sci...312.1780P)          15             515          15          16           2        True
        joincitations(bibcode:2007PhRvL..98t6805H)          15             354          15          16           2        True
        joincitations(bibcode:2005QJRMS.131.2961U)          15             937          15          16           2        True
        joincitations(bibcode:2000Sci...290.2282M)          15             627          15          16           2        True
        joincitations(bibcode:1996PhLB..379...99S)          15             988          15          16           2        True
        joincitations(bibcode:1997PhRvD..55.5112B)          15            1091          15          16           2        True
        joincitations(bibcode:2001RvMP...73..565R)          15             704          15          16           2        True
        joincitations(bibcode:2003JHEP...05..013M)          15             373          15          16           2        True
        joincitations(bibcode:2004Natur.431..162W)          15             546          15          16           2        True
        joincitations(bibcode:1984NuPhB.241..333B)          15            2147          15          16           2        True
        joincitations(bibcode:1986JGR....91.4673M)          15             784          15          16           2        True
        joincitations(bibcode:1957ApJ...125...66S)          15             221          15          16           2        True
        joincitations(bibcode:1996PhRvB..5417954N)          15             479          15          16           2        True
        joincitations(bibcode:1989MWRv..117.1779T)          16             575          15          17           2        True
        joincitations(bibcode:2001ApJ...553...47F)          16            1868          16          16           2        True
        joincitations(bibcode:2003JHyMe...4.1147A)          16             326          16          17           2        True
        joincitations(bibcode:1999IJTP...38.1113M)          16             680          16          16           2        True
        joincitations(bibcode:1961PhRv..122..345N)          16            1851          16          16           2        True
        joincitations(bibcode:1998PhRvL..81.1562F)          16            2017          16          16           2        True
        joincitations(bibcode:2006NatPh...2..177N)          16             263          16          17           2        True
        joincitations(bibcode:1956JPCS....1...82K)          16             222          16          16           2        True
        joincitations(bibcode:1981SSCom..39..625R)          16             450          16          17           2        True
        joincitations(bibcode:2004ApJ...607..665R)          16            1841          16          16           2        True
        joincitations(bibcode:1982ApJ...263..835S)          16            1936          16          16           2        True
        joincitations(bibcode:1977PhRvL..38.1440P)          16            1167          16          16           2        True
        joincitations(bibcode:1976CMaPh..48..119L)          16            1058          16          16           2        True
        joincitations(bibcode:1963PhRv..131.2766G)          16            2067          16          16           2        True
        joincitations(bibcode:1976PhRvB..14.3110B)          16             314          16          16           2        True
        joincitations(bibcode:2001Sci...292...77S)          16            1299          16          16           2        True
        joincitations(bibcode:1950PhRv...79..615R)          16             201          16          16           2        True
        joincitations(bibcode:1989Natur.342..637F)          16             564          15          17           2        True
        joincitations(bibcode:1995Sci...269..676H)          16            1198          16          16           2        True
        joincitations(bibcode:1972PMag...25....1A)          16             829          16          17           2        True
        joincitations(bibcode:1977PhLB...67..421M)          16             834          15          17           2        True
        joincitations(bibcode:1926AnP...384..734S)          16              47          15          17           2        True
        joincitations(bibcode:1991PhLB..264..440D)          16             270          16          16           2        True
        joincitations(bibcode:1976PhRvD..13..974W)          16             364          16          16           2        True
        joincitations(bibcode:2012EPJC...72.1971A)          16              48          15          17           2        True
        joincitations(bibcode:1984ucp..book.....W)          16            2295          16          17           2        True
        joincitations(bibcode:1953mtp..book.....M)          16            2405          16          16           2        True
        joincitations(bibcode:1992RvMP...64.1045P)          16            2150          16          17           2        True
        joincitations(bibcode:2011PhRvD..83k5013B)          16               6          16          17           2        True
        joincitations(bibcode:1987SSCom..63..973B)          16             330          16          17           2        True
        joincitations(bibcode:2009ApJS..180..225H)          16             381          16          16           2        True
        joincitations(bibcode:1998AJ....115.1693C)          16            2050          16          16           2        True
        joincitations(bibcode:2006IJMPD..15.1753C)          16             946          16          16           2        True
        joincitations(bibcode:1991Natur.353..737O)          16             815          16          16           2        True
        joincitations(bibcode:1998PhRvL..80.1582C)          16            1612          16          17           2        True
        joincitations(bibcode:2004CMaPh.252..189W)          16             281          15          17           2        True
        joincitations(bibcode:1986PhRvB..33.8822P)          16            1738          16          17           2        True
        joincitations(bibcode:2000NuPhB.586..141G)          16             424          16          16           2        True
        joincitations(bibcode:1959ApJ...130...26B)          16             120          15          17           2        True
        joincitations(bibcode:1997PhRvL..78.1667K)          16             488          16          17           2        True
        joincitations(bibcode:2003NuPhA.729..337A)          16             813          16          16           2        True
        joincitations(bibcode:1997PhRvL..78.4494P)          16             563          15          17           2        True
        joincitations(bibcode:1970ssr..book.....K)          16             187          16          17           2        True
        joincitations(bibcode:2003PhRvL..90v7902V)          16             586          15          17           2        True
        joincitations(bibcode:1984PhRvL..53.1951S)          16            1982          16          16           2        True
        joincitations(bibcode:1961JAP....32.1679P)          16             345          16          16           2        True
        joincitations(bibcode:2002Natur.419..594S)          16             361          16          16           2        True
        joincitations(bibcode:1987PhRvL..59..381B)          16            2233          16          17           2        True
        joincitations(bibcode:1980MaMol..13.1602L)          16             386          16          16           2        True
        joincitations(bibcode:1984SJNA...21..995S)          16             197          16          17           2        True
        joincitations(bibcode:2012PhRvL.109r1301A)          16              11          16          17           2        True
        joincitations(bibcode:1949QJRMS..75...41S)          16             116          15          17           2        True
        joincitations(bibcode:2005PhRvL..95v6801K)          16             322          16          16           2        True
        joincitations(bibcode:2001RvMP...73..977D)          16             632          15          17           2        True
        joincitations(bibcode:1972PhRvB...6.4370J)          16            1591          16          17           2        True
        joincitations(bibcode:2003ApJ...594....1T)          16             929          16          16           2        True
        joincitations(bibcode:2006NatPh...2..620K)          16             363          15          17           2        True
        joincitations(bibcode:1975JPhF....5..965E)          16            1698          16          16           2        True
        joincitations(bibcode:1998PhRvA..57..120L)          16            2076          16          16           2        True
        joincitations(bibcode:1957qmot.book.....B)          16            1966          16          16           2        True
        joincitations(bibcode:2002JHEP...04..013B)          16             393          15          17           2        True
        joincitations(bibcode:1929PGro...43....1V)          16              30          16          17           2        True
        joincitations(bibcode:1990ARA&A..28..215D)          16            2866          16          16           2        True
        joincitations(bibcode:1972hmfw.book.....A)          16            2365          16          16           2        True
        joincitations(bibcode:1998BAMS...79...61T)          16             789          16          16           2        True
        joincitations(bibcode:1990PhRvL..64..821P)          16            1522          16          16           2        True
        joincitations(bibcode:1985RvMP...57..287L)          16            2690          16          16           2        True
        joincitations(bibcode:2005RvMP...77..259S)          16             427          15          17           2        True
        joincitations(bibcode:1980PhRvL..45..494K)          16            1292          16          16           2        True
        joincitations(bibcode:2005RvMP...77..977S)          16             258          16          16           2        True
        joincitations(bibcode:1986nras.book.....P)          16            2929          16          16           2        True
        joincitations(bibcode:1950msms.book.....H)          16            2314          16          16           2        True
        joincitations(bibcode:2001Natur.409...46K)          16            1100          16          16           2        True
        joincitations(bibcode:1981ApOpt..20..211K)          16             296          16          16           2        True
        joincitations(bibcode:1964ApPhL...4...89W)          16             883          16          16           2        True
        joincitations(bibcode:1999JHEP...09..032S)          16            1106          16          17           2        True
        joincitations(bibcode:2002Natur.415...39G)          16            1858          16          17           2        True
        joincitations(bibcode:1988PhRvD..37.3406R)          16            1667          16          16           2        True
        joincitations(bibcode:2005PhR...421....1F)          16             178          16          16           2        True
        joincitations(bibcode:1996PhRvL..77.1413P)          16            1263          16          17           2        True
        joincitations(bibcode:1998ARA&A..36..189K)          16            2167          16          17           2        True
        joincitations(bibcode:1916ZPhy...17..557S)          16             174          16          16           2        True
        joincitations(bibcode:1996PhRvB..54.9353B)          16             987          16          16           2        True
        joincitations(bibcode:2003PhRvD..68d6005K)          16            1080          16          16           2        True
        joincitations(bibcode:1998AJ....115.2285M)          16            1688          16          16           2        True
        joincitations(bibcode:1935RSPSA.151..585F)          16             210          16          16           2        True
        joincitations(bibcode:1968PhRv..170..379T)          16             292          16          16           2        True
        joincitations(bibcode:2004RvMP...76..323Z)          16            1849          16          16           2        True
        joincitations(bibcode:1986PhLB..174...45F)          16            1278          16          16           2        True
        joincitations(bibcode:1986PhRvL..56..889K)          16            1945          16          17           2        True
        joincitations(bibcode:2008RvMP...80..517A)          16             216          15          17           2        True
        joincitations(bibcode:1984JETPL..39...78B)          16             456          15          17           2        True
        joincitations(bibcode:2002JPCM...14.2745S)          16            1190          16          16           2        True
        joincitations(bibcode:2005PalOc..20.1003L)          16             174          16          16           2        True
        joincitations(bibcode:1993JChPh..98.1358W)          16            1373          16          16           2        True
        joincitations(bibcode:2005Sci...309.2180P)          16             639          16          16           2        True
        joincitations(bibcode:1985PhRvL..55.2471C)          16            2756          16          16           2        True
        joincitations(bibcode:1975JOSA...65..979F)          16              39          15          17           2        True
        joincitations(bibcode:1992PhRvL..68.2512M)          16             919          16          16           2        True
        joincitations(bibcode:1996PhRvA..53.2046B)          16             771          16          17           2        True
        joincitations(bibcode:1999RvMP...71..463D)          16            2007          16          16           2        True
        joincitations(bibcode:1927RSPSA.115..700K)          16              54          15          17           2        True
        joincitations(bibcode:1982RvGSP..20..851M)          16             727          16          16           2        True
        joincitations(bibcode:1996RvMP...68...13G)          16            1873          16          16           2        True
        joincitations(bibcode:2006AJ....131.1163S)          16            2053          16          16           2        True
        joincitations(bibcode:2006Sci...314.1757B)          16             156          15          17           2        True
        joincitations(bibcode:1991rc3..book.....D)          16             567          16          16           2        True
        joincitations(bibcode:2003AnPhy.303....2K)          16             492          16          17           2        True
        joincitations(bibcode:2005JAP....98d1301O)          16             753          16          16           2        True
        joincitations(bibcode:1985PhR...117...75H)          16            2405          16          16           2        True
        joincitations(bibcode:1983ApJ...270..119M)          16            1757          16          16           2        True
        joincitations(bibcode:1966PhRvL..17.1133M)          16            1983          16          16           2        True
        joincitations(bibcode:1961PhRv..124...41A)          16            2142          16          16           2        True
        joincitations(bibcode:1998RvMP...70.1039I)          16            1577          16          16           2        True
        joincitations(bibcode:1963JAtS...20..130L)          16            1947          16          16           2        True
        joincitations(bibcode:1998Natur.393..440W)          16            1892          16          16           2        True
        joincitations(bibcode:2006PhRvL..97r7401F)          16             299          16          17           2        True
        joincitations(bibcode:1965PhRv..139..796H)          16            1090          16          16           2        True
        joincitations(bibcode:1997PhRvL..78.1396P)          16             533          16          16           2        True
        joincitations(bibcode:1941ApJ....93..133K)          16             170          15          17           2        True
        joincitations(bibcode:1999JMMM..192..203N)          16            1200          16          16           2        True
        joincitations(bibcode:1987PhRvL..58..908W)          16            2836          16          16           2        True
        joincitations(bibcode:2004PhRvD..70j6007O)          16             187          16          16           2        True
        joincitations(bibcode:1981MWRv..109..784W)          16             717          15          17           2        True
        joincitations(bibcode:2004PhRvD..69j3501T)          16            1445          16          16           2        True
        joincitations(bibcode:1961hhs..book.....C)          16            2358          16          16           2        True
        joincitations(bibcode:1983Sci...220..671K)          16            1852          16          17           2        True
        joincitations(bibcode:1990ApPhL..57.1046C)          16            2421          16          16           2        True
        joincitations(bibcode:1957JPCS....1..249K)          16            1218          16          16           2        True
        joincitations(bibcode:2005MNRAS.362..799M)          16             570          15          17           2        True
        joincitations(bibcode:1994PhRvB..4916223B)          16             791          16          16           2        True
        joincitations(bibcode:1959RSPSA.253..358R)          16             316          16          16           2        True
