                                             Query	     QTime		  numFound	  minQTime	  maxQTime	#invocations	return consistent
               references(id:[2000000 TO 2000900])	        15		      2056	         9	        26	         3	      True
               references(id:[2000000 TO 2002700])	        21		      7891	        13	        37	         3	      True
               references(id:[2000000 TO 2005400])	        25		     16303	        19	        37	         3	      True
               references(id:[2000000 TO 2009000])	        28		     25261	        27	        30	         3	      True
               references(id:[2000000 TO 2013500])	        41		     38194	        37	        48	         3	      True
               references(id:[2000000 TO 2018900])	        57		     55987	        56	        59	         3	      True
               references(id:[2000000 TO 2025200])	        68		     64639	        68	        70	         3	      True
               references(id:[2000000 TO 2032400])	        79		     70073	        76	        83	         3	      True
               references(id:[2000000 TO 2040500])	        87		     76004	        84	        89	         3	      True
               references(id:[2000000 TO 2049500])	        98		     84206	        97	       100	         3	      True
               references(id:[2000000 TO 2059400])	       119		     94387	       113	       131	         3	      True
               references(id:[2000000 TO 2070200])	       131		    104115	       130	       133	         3	      True
               references(id:[2000000 TO 2081900])	       145		    113238	       144	       147	         3	      True
               references(id:[2000000 TO 2094500])	       183		    132880	       182	       185	         3	      True
               references(id:[2000000 TO 2108000])	       231		    157037	       228	       234	         3	      True
               references(id:[2000000 TO 2122400])	       282		    177492	       279	       289	         3	      True
               references(id:[2000000 TO 2137700])	       343		    194773	       340	       346	         3	      True
               references(id:[2000000 TO 2153900])	       378		    205739	       377	       381	         3	      True
               references(id:[2000000 TO 2171000])	       404		    213900	       402	       406	         3	      True
               references(id:[2000000 TO 2189000])	       442		    225406	       439	       447	         3	      True
               references(id:[2000000 TO 2207900])	       513		    243603	       505	       521	         3	      True
               references(id:[2000000 TO 2227700])	       567		    255273	       564	       571	         3	      True
               references(id:[2000000 TO 2248400])	       668		    277648	       666	       670	         3	      True
               references(id:[2000000 TO 2292500])	       773		    301930	       764	       778	         3	      True
               references(id:[2000000 TO 2315900])	       878		    322487	       855	       917	         3	      True
               references(id:[2000000 TO 2270000])	       913		    292956	       729	      1279	         3	      True
               references(id:[2000000 TO 2340200])	       922		    330900	       918	       926	         3	      True
               references(id:[2000000 TO 2365400])	      1035		    350198	      1016	      1064	         3	      True
               references(id:[2000000 TO 2391500])	      1102		    363365	      1099	      1107	         3	      True
